,author,published_at,updated_at,like_count,text
37,@user-cd5pd2qe7s,2024-06-14T09:53:20Z,2024-06-14T09:53:20Z,0,Tumhe india pasand nhi hai na hum to sochte bhi nhi ki is duniya me pakistan ek bhikari desh bhi hai tum yo Aatankwadi hai hum kisi jiv ko bhi takleef nhi dete india ne bhik me diya hai pakistan tumko aukat me raho  jau tumara kam karo bhik maango 😂
38,@shashibhusan9453,2024-06-14T09:52:26Z,2024-06-14T09:52:26Z,0,Faltu logon ka interview kion leten
39,@user-cd5pd2qe7s,2024-06-14T09:50:25Z,2024-06-14T09:50:25Z,0,Tumhara to muh bhi pasand nhi hai hume kyun ki tumhe jaroorat hai raat ke khane ki hume nhi hum to khush hai hamari india me i love my india tumari Aukat nhi hai india ka nam leneka bhi Atankwadiyo
40,@aakash3093,2024-06-14T09:47:32Z,2024-06-14T09:47:32Z,0,Aaise Pakistani rahenge toh comdey shows ki zarurat nhi hai...<br>Bc Bhikarisatan....
41,@shashibhusan9453,2024-06-14T09:46:40Z,2024-06-14T09:46:40Z,0,Uneducated bacha
42,@indrajit969,2024-06-14T09:43:02Z,2024-06-14T09:43:02Z,0,Bappa baap hota hai smjha mc pakistan
43,@user-sz5vi1vx9b,2024-06-14T09:40:23Z,2024-06-14T09:40:23Z,0,In chutiyon ko kaun samjhaye ki Pakistan se jyada Muslims India me rahte h😂
44,@BrijmoanDewangan,2024-06-14T09:39:10Z,2024-06-14T09:39:10Z,0,इनके दिमागी कीड़े मरते नहीं
45,@deepakwadhwa260,2024-06-14T09:38:13Z,2024-06-14T09:38:13Z,0,Agar la illa Iin lillA ki aulad ho to agar apne maa ke bhai ki aulad nhi ho Indian medicine bhi band kar do 😢😢😢😢 or ghuuu Khao ja ke sari awaam tum ghuu Khao Pakistani army ka😅😅😮😅
46,@SudevShyam,2024-06-14T09:37:59Z,2024-06-14T09:37:59Z,0,Ye wahi nalayak bachha hai jo baap ki respect nhi karta😂😂😂 india baap hai pure Pakistan ki
47,@granitxhaka7261,2024-06-14T09:31:47Z,2024-06-14T09:31:47Z,0,brainwashed zombies
